time,open,high,low,close,vol
1672531200,16541.77,23960.54,16499.01,23125.13,7977028.87801
1675209600,23125.13,25250.0,21351.07,23141.57,8642691.27165
1677628800,23141.57,29184.68,19549.09,28465.36,9516189.35846
1680307200,28465.36,31000.0,26942.82,29233.21,1626745.5585
1682899200,29233.2,29820.0,25811.46,27210.35,1302000.49221
1685577600,27210.36,31431.94,24800.0,30472.0,1387207.48275
1688169600,30471.99,31804.2,28861.9,29232.25,925773.81731
1690848000,29232.26,30244.0,25166.0,25940.78,1025866.55023
1693526400,25940.77,27483.57,24901.0,26962.56,809329.04893
1696118400,26962.57,35280.0,26538.66,34639.77,1141403.6799
1698796800,34639.78,38450.0,34097.39,37723.96,1055690.59638
1701388800,37723.97,44700.0,37615.86,42283.58,1195409.976
1704067200,42283.58,48969.48,38555.0,42580.0,1403408.84978
1706745600,42580.0,64000.0,41884.28,61130.98,1206112.69545
1709251200,61130.99,73777.0,59005.0,71280.01,1706807.381342
1711929600,71280.0,72797.99,59191.6,60672.0,1201500.95852
1714521600,60672.01,71979.0,56552.82,67540.01,945031.04072
1717200000,67540.01,71997.02,58402.0,62772.01,696818.18818
1719792000,62772.01,70079.99,53485.93,64628.0,908004.33426
1722470400,64628.01,65659.78,49000.0,58973.99,1010291.47396
1725148800,58974.0,66498.0,52550.0,63327.59,734117.07575
1727740800,63327.6,73620.12,58946.0,70292.01,756010.86343
1730419200,70292.01,99588.01,66835.0,96407.99,1343559.242196
